# timestamp tx ty tz qx qy qz qw
1413393212.255760384 0 0 0 0 0 0 1
1413393212.305760512 -0.0016108 -0.00345739 0.00401458 0 0 0 1
1413393212.355760384 -0.00163024 -0.00343706 0.00400206 0 0 0 1
1413393212.405760512 -0.00156898 -0.00341419 0.00396263 0 0 0 1
1413393212.455760384 -0.00167679 -0.00340341 0.0040225 0 0 0 1
1413393212.505760512 -0.0016197 -0.00341349 0.00397302 0 0 0 1
1413393212.555760384 -0.0016496 -0.00342516 0.00397273 0 0 0 1
1413393212.605760512 -0.00156861 -0.00339375 0.00392823 0 0 0 1
1413393212.655760384 -0.00154475 -0.0034655 0.00393557 0 0 0 1
1413393212.705760512 -0.00159324 -0.00340968 0.00394921 0 0 0 1
1413393212.755760384 -0.00160144 -0.00343457 0.00391192 0 0 0 1
1413393212.805760512 -0.00157127 -0.00342971 0.00391898 0 0 0 1
1413393212.855760384 -0.00158384 -0.00345452 0.00389368 0 0 0 1
1413393212.905760512 -0.00150547 -0.00346237 0.00387863 0 0 0 1
1413393212.955760384 -0.00156384 -0.00347521 0.0039062 0 0 0 1
1413393213.5760512 -0.00157244 -0.00347476 0.00390229 0 0 0 1
1413393213.55760384 -0.0015547 -0.00345154 0.0038768 0 0 0 1
1413393213.105760512 -0.00149909 -0.00346141 0.0038534 0 0 0 1
1413393213.155760384 -0.00154296 -0.00346172 0.00387908 0 0 0 1
1413393213.205760512 -0.00154231 -0.00346683 0.00389297 0 0 0 1
1413393213.255760384 -0.00155656 -0.00345267 0.00387469 0 0 0 1
1413393213.305760512 -0.00149935 -0.00348752 0.00382782 0 0 0 1
1413393213.355760384 -0.00150869 -0.00347795 0.00385431 0 0 0 1
1413393213.405760512 -0.00148041 -0.00347218 0.00385927 0 0 0 1
1413393213.455760384 -0.00145604 -0.00350384 0.00384841 0 0 0 1
1413393213.505760512 -0.0015398 -0.00343145 0.00388687 0 0 0 1
1413393213.555760384 -0.00155544 -0.00345397 0.00387827 0 0 0 1
1413393213.605760512 -0.00149961 -0.00346766 0.00384427 0 0 0 1
1413393213.655760384 -0.00152011 -0.00352368 0.00383608 0 0 0 1
1413393213.705760512 -0.00151714 -0.0034846 0.0038347 0 0 0 1
1413393213.755760384 -0.00151101 -0.0035021 0.0037968 0 0 0 1
1413393213.805760512 -0.00148048 -0.00349421 0.0038225 0 0 0 1
1413393213.855760384 -0.00149512 -0.00348603 0.00380809 0 0 0 1
1413393213.905760512 -0.00140377 -0.00349261 0.00374502 0 0 0 1
1413393213.955760384 -0.00143131 -0.00347619 0.00384439 0 0 0 1
1413393214.5760512 -0.00150476 -0.00360577 0.00389162 0 0 0 1
1413393214.55760384 -0.00149242 -0.00359555 0.00383935 0 0 0 1
1413393214.105760512 -0.00139357 -0.0036011 0.00378848 0 0 0 1
1413393214.155760384 -0.00140282 -0.00359867 0.00385625 0 0 0 1
1413393214.205760512 -0.00142008 -0.0035929 0.00380651 0 0 0 1
1413393214.255760384 -0.00141362 -0.00356473 0.00387043 0 0 0 1
1413393214.305760512 -0.00140568 -0.00355778 0.00379631 0 0 0 1
1413393214.355760384 -0.00136206 -0.0035468 0.00378028 0 0 0 1
1413393214.405760512 -0.00139017 -0.00350407 0.00380605 0 0 0 1
1413393214.455760384 -0.00147172 -0.0035424 0.00377867 0 0 0 1
1413393214.505760512 -0.00143579 -0.00350377 0.00380058 0 0 0 1
1413393214.555760384 -0.00142472 -0.00352175 0.00376707 0 0 0 1
1413393214.605760512 -0.00146208 -0.00351842 0.00384613 0 0 0 1
1413393214.655760384 -0.00142212 -0.00349736 0.00380377 0 0 0 1
1413393214.705760512 -0.00150797 -0.00356334 0.0038123 0 0 0 1
1413393214.755760384 -0.00151264 -0.00347979 0.00385312 0 0 0 1
1413393214.805760512 -0.00139756 -0.0035251 0.00373062 0 0 0 1
1413393214.855760384 -0.00138967 -0.00353416 0.00370898 0 0 0 1
1413393214.905760512 -0.00143978 -0.00346122 0.00377407 0 0 0 1
1413393214.955760384 -0.00147088 -0.00350283 0.00380979 0 0 0 1
1413393215.5760512 -0.0013682 -0.00351382 0.00375464 0 0 0 1
1413393215.55760384 -0.00133844 -0.00354533 0.00378289 0 0 0 1
1413393215.105760512 -0.00145855 -0.0035682 0.00378243 0 0 0 1
1413393215.155760384 -0.00140069 -0.00354196 0.00372582 0 0 0 1
1413393215.205760512 -0.00143311 -0.00359887 0.00381168 0 0 0 1
1413393215.255760384 -0.00146442 -0.00353799 0.00381448 0 0 0 1
