# timestamp tx ty tz qx qy qz qw
1403636579.763555584 0 0 0 0 0 0 1
1403636579.813555456 -0.000246605 0.0140142 0.00808325 0 0 0 1
1403636579.863555584 -0.000244616 0.032986 0.0151697 0 0 0 1
1403636579.913555456 -0.00112733 0.0549022 0.0223106 0 0 0 1
1403636579.963555584 -0.0019121 0.0795206 0.0293539 0 0 0 1
1403636580.13555456 -0.00309448 0.104572 0.0365427 0 0 0 1
1403636580.63555584 -0.00370963 0.130795 0.0433173 0 0 0 1
1403636580.113555456 0.00307692 0.150371 0.0368824 0 0 0 1
1403636580.163555584 0.00326097 0.176269 0.0424755 0 0 0 1
1403636580.213555456 0.00269252 0.199247 0.0479942 0 0 0 1
1403636580.263555584 0.00145063 0.223036 0.0535977 0 0 0 1
1403636580.313555456 0.000634268 0.243664 0.0576901 0 0 0 1
1403636580.363555584 0.000463813 0.261722 0.0603193 0 0 0 1
1403636580.413555456 -0.000249827 0.278662 0.0626628 0 0 0 1
1403636580.463555584 -0.000358832 0.293624 0.0629658 0 0 0 1
1403636580.513555456 -0.00135402 0.30157 0.063181 0 0 0 1
1403636580.563555584 -0.00213658 0.299968 0.0616446 0 0 0 1
1403636580.613555456 -0.0032327 0.289627 0.0584374 0 0 0 1
1403636580.663555584 -0.00449091 0.271511 0.0539347 0 0 0 1
1403636580.713555456 -0.00494411 0.246492 0.0482313 0 0 0 1
1403636580.763555584 -0.00662416 0.214745 0.0426598 0 0 0 1
1403636580.813555456 -0.00169117 0.17949 0.0286023 0 0 0 1
1403636580.863555584 -0.00133274 0.141206 0.0209564 0 0 0 1
1403636580.913555456 -0.000560123 0.100757 0.0118554 0 0 0 1
1403636580.963555584 0.00147087 0.05891 -0.00221864 0 0 0 1
1403636581.13555456 0.000932098 0.023265 -0.0101448 0 0 0 1
1403636581.63555584 0.00324375 -0.0138994 -0.0216564 0 0 0 1
1403636581.113555456 0.00343747 -0.0487318 -0.0286026 0 0 0 1
1403636581.163555584 0.000684746 -0.0791079 -0.0389559 0 0 0 1
1403636581.213555456 0.00197422 -0.103799 -0.0444558 0 0 0 1
1403636581.263555584 0.00484012 -0.121654 -0.0449003 0 0 0 1
1403636581.313555456 0.00617059 -0.137699 -0.0490558 0 0 0 1
1403636581.363555584 0.00534975 -0.14796 -0.0518958 0 0 0 1
1403636581.413555456 0.00629966 -0.147578 -0.0525331 0 0 0 1
1403636581.463555584 0.00711926 -0.139524 -0.05055 0 0 0 1
1403636581.513555456 0.0086019 -0.122886 -0.0478679 0 0 0 1
1403636581.563555584 0.00797555 -0.101158 -0.0466068 0 0 0 1
1403636581.613555456 0.00621917 -0.0726534 -0.0447656 0 0 0 1
1403636581.663555584 0.00770732 -0.0420758 -0.0374932 0 0 0 1
1403636581.713555456 0.00773671 -0.0231151 -0.0371702 0 0 0 1
1403636581.763555584 0.00735124 -0.00885159 -0.0453803 0 0 0 1
1403636581.813555456 0.00852559 0.0263201 -0.0378795 0 0 0 1
1403636581.863555584 0.0111712 0.0605307 -0.0314908 0 0 0 1
1403636581.913555456 0.0107306 0.0935961 -0.0256018 0 0 0 1
1403636581.963555584 0.0115332 0.12284 -0.0194905 0 0 0 1
1403636582.13555456 0.0122819 0.153025 -0.0134285 0 0 0 1
1403636582.63555584 0.0137592 0.174984 -0.0145896 0 0 0 1
1403636582.113555456 0.0134246 0.197088 -0.0107008 0 0 0 1
1403636582.163555584 0.0123033 0.217359 -0.00998663 0 0 0 1
